Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing
Advanced Rockets Corp,3,25000,4.1,164,0.07,Heavy,LEO,Rocket,United States,"Los Angeles, CA",The Dynamics Enhanced Launch Vehicle is designed for a life of over 400 reuses with very minimal maintenance and rapid turnarounds,Private (reported),0.07,United States,1,0,0,0,1,0,0,0,0,0,1,0,0
ABL Space Systems,7,1350,12.0,8889,420.00,Small,LEO,Rocket,United States,"El Segundo, CA",Building rockets to launch small satellites,Private (reported),420.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Sugarhouse Aerospace,5,50,0.25,5000,,Small,Suborbital,Rocket,United States,"Springville, UT",Sugarhouse Aerospace is built on a simple idea - space shouldn't be reserved for governments and billionaires,Unknown,13.844999999999999,United States,0,0,1,0,0,0,1,0,0,0,1,0,1
Space One,0,0,0.0,0,,,LEO,Other,Luxembourg,Luxembourg,Developing electromagnetic launch systems to change how we launch payloads into space,Unknown,13.844999999999999,Other,0,0,0,0,1,0,0,0,1,0,0,0,1
IO Aircraft,2,63500,28.0,441,,"Medium, Heavy",LEO,Spaceplane,United States,"Ankeny, IA","Developing single stage to orbit, fixed wing, hypersonic aircraft",Unknown,13.844999999999999,United States,1,1,0,0,1,0,0,0,0,0,0,1,1
Space Forest,6,50,0.0,4500,,Small,Suborbital,Rocket,Poland,Gdynia,Commercializing new suborbital rocket technologies,Unknown,13.844999999999999,Other,0,0,1,0,0,0,1,0,0,0,1,0,1
Marcom,1,1000,8.0,8000,,Small,LEO,Rocket,South Africa,Johannesburg,Developing the Cheetah small launch vehicle,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
LEO Launcher,0,680,0.0,0,,Small,LEO,"Plane, Rocket",United States,"Houston, TX",Long range heavy lift aircraft horizontal launches,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,1,1,0,1
Astra Space,9,300,3.95,13167,Public,Small,LEO,Rocket,United States,"Alameda, CA",Providing routine launch access to Earth orbit for entrepreneurs and enterprises,Public,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Perigee Aerospace,5,65,2.0,30769,13.86,Small,LEO,Rocket,South Korea,Daejeon,"Developing Blue Whale 1, a micro launch vehicle",Private (reported),13.86,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
CubeSat Solutions,1,50,0.0,0,,Small,Suborbital,Rocket,Thailand,Chiang Mai,"Designer of low-weight, low-cost satellites and small launching vehicles",Unknown,13.844999999999999,Other,0,0,1,0,0,0,1,0,0,0,1,0,1
LIA Aerospace,2,150,0.0,25000,,Small,LEO,Rocket,Argentina,,Creating the small-sat launch vehicle of the future,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Enter Space,1,3000,0.0,1000,,Medium,LEO,Spaceplane,Australia,"Sydney, New South Wales","Developing technology for cost effective, reliable, and frequent access to space",Unknown,13.844999999999999,Other,0,1,0,0,1,0,0,0,0,0,0,1,1
Phoenix Launch Systems,3,31,0.75,34000,0.50,Small,LEO,Rocket,United States,"Las Vegas, NV",Developing responsive launch services and products for the nanosatellite industry,Private (reported),0.5,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Laros,3,150,3.0,20000,,Small,LEO,Rocket,Russia,Moscow,Developing the LAROS-RC2 orbital carrier and accompanying mobile launch infrastructure,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Astron Systems,2,360,1.5,4167,,Small,LEO,Rocket,United Kingdom,"Thame, England","Bringing about the next generation of low-cost, reusable launch vehicles",Unknown,13.844999999999999,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,1
Acrux Aerospace Technologies,3,25,1.0,40000,0.05,Small,LEO,Rocket,Brazil,"Iguassu Falls, Paraná",Designing the Montenegro nanolauncher for launches at a very competitive price,Private (reported),0.05,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Space Darts,4,100,0.1,1000,15.00,Small,LEO,Rocket,Russia,Moscow,Mass production of on-demand launchers for small sats,Private (reported),15.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
CubeCab,2,5,0.25,50000,,Small,LEO,Rocket,United States,"Mountain View, CA",LEO launch provider for 3U cubesats,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
United Frontiers,0,500,0.0,2000,,Small,LEO,Rocket,United States,"Port Canaveral, FL","SpaceBox is a suborbital launch and recovery platform designed to enable affordable access to space for educational, professional, consumer and hobbyist payloads",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Sierra Space,8,5000,0.0,0,1400.00,Medium,LEO,Spaceplane,United States,"Broomfield, CO","Developing Dream Chaser, a multi-mission space utility vehicle designed to transport crew and cargo to low-Earth orbit",Private (reported),1400.0,United States,0,1,0,0,1,0,0,0,0,0,0,1,0
Pipeline2Space (by HyperSciences),4,10,1.0,100000,,Small,LEO,Other,United States,"Spokane, WA",Using RAM-accelerators to change the economics of space launch,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,1,0,0,0,1
Ripple Aerospace,3,2600,0.0,0,,Medium,LEO,Rocket,Norway,Kristiansand,"Bringing back the ""sea-launch"" concept with full-force!",Unknown,13.844999999999999,Other,0,1,0,0,1,0,0,0,0,0,1,0,1
Virgin Orbit/VOX Space,9,500,12.0,24000,,Small,LEO,"Plane, Rocket",United States,"Long Beach, CA",The small payload orbital launch sister company to Virgin Galactic,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,1,1,0,1
C6 Launch Systems,3,30,0.0,0,,Small,LEO,Rocket,Canada,"Toronto, Ontario",Provding dedicated launch services for cube and nanosatellites,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
SpaceTaxi,0,0,0.0,0,,Tourism,Suborbital,Rocket,India,Delhi,Aiming to provide affordable space tourism and rocket launch services,Unknown,13.844999999999999,India,0,0,0,1,0,0,1,0,0,0,1,0,1
Phantom Space,3,450,0.0,0,5.00,Small,LEO,Rocket,United States,"Tucson, AZ",Revolutionizing the way we transport satellites and space assets into space,Private (reported),5.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
